Time(ns),Calculated Values(V1),Calculated Values(V2)
1.060000,2.286534,2.685536,
1.062000,2.286225,2.685870,
1.064000,2.285917,2.686203,
1.066000,2.285609,2.686536,
1.068000,2.285301,2.686869,
1.070000,2.284994,2.687202,
1.072000,2.284687,2.687535,
1.074000,2.284380,2.687868,
1.076000,2.284074,2.688201,
1.078000,2.283768,2.688534,
1.080000,2.283462,2.688866,
1.082000,2.283157,2.689199,
1.084000,2.282852,2.689531,
1.086000,2.282547,2.689864,
1.088000,2.282243,2.690196,
1.090000,2.281939,2.690529,
1.092000,2.281635,2.690861,
1.094000,2.281332,2.691193,
1.096000,2.281029,2.691525,
1.098000,2.280727,2.691858,
1.100000,2.280424,2.692190,
1.102000,2.280122,2.692522,
1.104000,2.279821,2.692854,
1.106000,2.279520,2.693186,
1.108000,2.279219,2.693517,
1.110000,2.278918,2.693849,
1.112000,2.278618,2.694181,
1.114000,2.278318,2.694512,
1.116000,2.278018,2.694844,
1.118000,2.277719,2.695176,
1.120000,2.277420,2.695507,
1.122000,2.277122,2.695838,
1.124000,2.276824,2.696170,
1.126000,2.276526,2.696501,
1.128000,2.276228,2.696832,
1.130000,2.275931,2.697163,
1.132000,2.275634,2.697494,
1.134000,2.275338,2.697825,
1.136000,2.275042,2.698156,
1.138000,2.274746,2.698487,
1.140000,2.274451,2.698818,
1.142000,2.274155,2.699149,
1.144000,2.273861,2.699479,
1.146000,2.273566,2.699810,
1.148000,2.273272,2.700141,
1.150000,2.272978,2.700471,
1.152000,2.272685,2.700802,
1.154000,2.272392,2.701132,
1.156000,2.272099,2.701462,
1.158000,2.271807,2.701793,
1.160000,2.271515,2.702123,
1.162000,2.271223,2.702453,
1.164000,2.270931,2.702783,
1.166000,2.270640,2.703113,
1.168000,2.270350,2.703443,
1.170000,2.270059,2.703773,
1.172000,2.269769,2.704103,
1.174000,2.269480,2.704433,
1.176000,2.269190,2.704762,
1.178000,2.268901,2.705092,
1.180000,2.268612,2.705421,
1.182000,2.268324,2.705751,
1.184000,2.268036,2.706080,
1.186000,2.267748,2.706410,
1.188000,2.267461,2.706739,
1.190000,2.267174,2.707068,
1.192000,2.266887,2.707398,
1.194000,2.266601,2.707727,
1.196000,2.266315,2.708056,
1.198000,2.266029,2.708385,
1.200000,2.265744,2.708714,
1.202000,2.265459,2.709043,
1.204000,2.265175,2.709372,
1.206000,2.264890,2.709700,
1.208000,2.264606,2.710029,
1.210000,2.264323,2.710358,
1.212000,2.264039,2.710686,
1.214000,2.263756,2.711015,
1.216000,2.263474,2.711343,
1.218000,2.263191,2.711672,
1.220000,2.262910,2.712000,
1.222000,2.262628,2.712328,
1.224000,2.262347,2.712657,
1.226000,2.262066,2.712985,
1.228000,2.261785,2.713313,
1.230000,2.261505,2.713641,
1.232000,2.261225,2.713969,
1.234000,2.260945,2.714297,
